"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17613","sauce Demo","chromium","2026-09-02","passed","2026-09-02","","demo.spec.js","",""
"","18698","sauce Demo","webkit","2026-09-02","passed","2026-09-02","","demo.spec.js","",""
